# model=snpy_max_model
# h=72.00163002615162
# N = 324
# RMS = 0.24550529029797882
# WRMS = 0.21491565927148093
# NMAD = 0.16814900394672314
# STD = 0.24544615460812721
# STD(logH0) = 0.049150487235919395
# rchisquare = 9.610228193619061
# sigma_int = 0.21321
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st       Jmax       Vmax       rmax    e_Jmax    e_Vmax    e_rmax        dist          h0  resid_DM
   19iml  262.822333   36.45065   60431   262.82412   36.44289     J-c-o-ztfg-ztfr     1D3    F19        None  36.788876  0.059022  0.049448  0.049274  0.000037  262.822333   36.45065  0.034507    0.103         0.002               0.082   1.28        1.75             1.312  58674.459358  0.353998    1.170199  0.747547  0.032808   18.24879  17.741989  17.852264  0.048728  0.037305  0.024382  227.916248   64.813374  0.147681
   19kcv  216.435743  -3.233026 1074290  216.439012  -3.230861     J-c-o-ztfg-ztfr     1D3    F19        None   37.63863  0.065548  0.073014  0.073834   0.00029  216.435743  -3.233026  0.077764    0.753         0.167                0.75    0.8       1.262             0.802   58676.89079  0.384507    0.737815  0.903643  0.051124  18.853248  18.046733  18.574957  0.051031  0.112511  0.034509   337.07465   65.667191  0.082316
   19mrw  355.320083  25.550019   72115  355.317046  25.551244 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.823418  0.057358  0.031343   0.03018  0.000012  355.320083  25.550019  0.046398    0.036         0.013               0.036  1.312       1.395             1.312  58714.434321  0.369979    1.297819  0.975873  0.032812  17.369031  16.979979  16.893302  0.054099  0.030622  0.027602  146.111202   61.923666  0.275414
   19myw  333.011108     0.0522 1155907   333.01175     0.0535     J-c-o-ztfg-ztfr      2D    F19        None  36.464021  0.174925  0.056772  0.055584  0.000015  333.011108     0.0522  0.059474    0.261         0.177               0.235  1.183        1.29             1.213  58712.511108  0.899955    1.115372  0.780794  0.068015  18.161586  18.772215  18.455784  0.171617  0.193106  0.048619  196.247505   84.911191  -0.45098
   19nft   32.151611    6.11221 9005020    32.15103     6.1126     J-c-o-ztfg-ztfr     1D3    F19        None  37.275993  0.144428  0.069246  0.068356      <NA>   32.151611    6.11221  0.045602    0.127         0.047               0.102  1.327       1.516             1.371  58719.758445  0.830445    1.064486  1.131405  0.051905   18.65936  18.181966  18.308471  0.143023  0.035273   0.03641  285.232216   71.845363 -0.107772
   19njp   51.690667   1.183289 5093996    51.69102    1.18283 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.749923  0.053018  0.048514  0.047969  0.000003   51.690667   1.183289  0.112779    0.987         0.978               0.987  0.591       0.622             0.591  58721.397928  0.388794      0.5714  0.933534   0.03357  18.199055  17.565111  17.665337  0.049704  0.030766  0.026958  223.864222   64.238754   0.16834
   19nwf   61.270748  -6.604816 9005021    61.27072   -6.60439     J-c-o-ztfg-ztfr      2D    F19        None  37.386758  0.070323  0.064641   0.06431      <NA>   61.270748  -6.604816  0.084596    0.217         0.041               0.215  1.191       1.492             1.193  58722.275524  0.465433    1.141537  1.189847  0.037894   18.75923  17.965141  18.072902   0.06364  0.032425  0.029619  300.159171     64.2315   0.14301
   19obt     5.14422   5.755046 1288570     5.14546    5.75417     J-c-o-ztfg-ztfr     1D3    F19        None  36.792417  0.052555  0.056009  0.054827  0.000013     5.14422   5.755046  0.017433    0.508         0.043               0.497  0.982       1.384             0.987  58727.187966  0.400666    1.018168  0.969828  0.038899  18.317922   18.14804  18.099412  0.049359  0.049053  0.032646  228.288217   71.999547 -0.091588
   19oke   316.56478   -7.41987 3366683  316.564379  -7.420131     J-c-o-ztfg-ztfr      2D    F19        None  37.399884  0.064732  0.069341  0.068319  0.000007   316.56478   -7.41987  0.086716    0.942         0.899               0.941  0.591       0.654             0.594  58727.760525  0.507496    0.572106  0.944637  0.043064  18.879233  18.296262  18.338905  0.062318  0.037125  0.037557  301.979058   67.824547  0.017077
   19omi   57.249125   0.926919   13895    57.24839    0.92597 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.887435  0.067739  0.035788  0.035354  0.000019   57.249125   0.926919  0.180326    0.007         0.004               0.007  1.575       1.628             1.575  58730.277678  0.373377      1.5516  0.785639  0.036046  17.398489   17.01396  17.031153  0.062796  0.032497  0.030155  150.482814   70.431478 -0.010982
   19oml   45.084495  18.743612   11355   45.083216  18.741979 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.649868  0.051853     0.033  0.032323  0.000014   45.084495  18.743612  0.219763    0.978         0.966               0.978  0.652       0.679             0.652  58726.059918  0.368432    0.648959  0.903053  0.032518  17.111974  16.672537  16.758086   0.04837  0.024983  0.025094   134.88808   71.837851  -0.04952
