# model=salt3-nir
# h=73.36495470247463
# N = 362
# RMS = 0.18677882126246526
# WRMS = 0.17409867848816993
# NMAD = 0.1524161935431913
# STD = 0.18671333350539407
# STD(logH0) = 0.03855644957162469
# rchisquare = 2.1435835381064208
# sigma_int = 0.12397
TNS_name          RA        Dec     PGC       galRA     galDec      bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model            t0      e_t0        x0      e_x0        x1      e_x1         c       e_c        dist          h0  resid_DM
   19odb  247.472714  37.583993 2104328  247.471847  37.584117           J-c-o      2D    F19        None  37.846403  0.221807  0.073437  0.073522  0.000027  247.472714  37.583993  0.009016    0.991         0.971               0.991  0.383       0.471             0.384  58726.732433  0.698651  0.000451  0.000034  1.334009  1.040329  0.093743  0.053315  370.920293   59.423651  0.338996
   19oke   316.56478   -7.41987 3366683  316.564379  -7.420131 J-c-o-ztfg-ztfr      2D    F19        None  37.451994  0.154014  0.069341  0.068319  0.000007   316.56478   -7.41987  0.086716    0.992         0.749               0.992  0.463       0.806             0.463  58726.991615  0.341681   0.00089  0.000041 -0.285422  0.484013 -0.062393   0.04163  309.313399   66.216313  0.109918
   19omi   57.249125   0.926919   13895    57.24839    0.92597 J-c-o-ztfg-ztfr      2D    F19        None  35.884178  0.103471  0.035788  0.035354  0.000019   57.249125   0.926919  0.180326      1.0         0.804                 1.0  0.392       0.823             0.392  58730.226592  0.132532  0.002977  0.000087 -1.832133  0.161317 -0.043993  0.026994  150.257306   70.537182  0.026493
   19oml   45.084495  18.743612   11355   45.083216  18.741979 J-c-o-ztfg-ztfr     1D3    F19        None  35.590833  0.092426     0.033  0.032323  0.000014   45.084495  18.743612  0.219763      1.0         0.932                 1.0    0.4        0.69               0.4  58726.111308  0.188865  0.003499  0.000095 -0.850363  0.173187  0.024958  0.024166  131.270349   73.817658 -0.067823
   19one   31.099788   3.186814 9005022   31.101056   3.187288 J-c-o-ztfg-ztfr      2D    F19        None  37.384696   0.15646  0.076383  0.075481  0.000001   31.099788   3.186814  0.035407    0.742         0.588               0.742  0.815       0.919             0.815  58722.765573  0.381742  0.000721  0.000032  0.949414  0.404149  0.066617  0.038873  299.874227   75.460303  -0.18487
   19pff  251.457667  45.086311 2258590  251.453225  45.087661 J-c-o-ztfg-ztfr     1D3    F19        None  37.132693  0.137669  0.059648  0.059639   0.00003  251.457667  45.086311  0.012899    0.898         0.428               0.898  0.702       1.025             0.703  58742.620372   0.23933  0.001269  0.000051  0.591216  0.343182 -0.049951  0.032069  267.016759   66.960025   0.10147
   19qeo  140.731292  54.028231 9005023   140.73143   54.02788 J-c-o-ztfg-ztfr     1D3    F19        None  36.858415  0.126827  0.056823  0.057346      <NA>  140.731292  54.028231  0.024076      1.0           1.0                 1.0  0.301        0.33             0.301  58752.962898  0.270676  0.001653  0.000055  1.096779  0.294827  -0.03541  0.035385  235.333058   73.053227 -0.082912
   19spa   47.134271 -10.040796 9005024    47.13441  -10.04151 J-c-o-ztfg-ztfr     1D3    F19        None  35.833421  0.093794  0.032074  0.031482      <NA>   47.134271 -10.040796  0.086695     0.99         0.241                0.99  0.577        1.14             0.577  58785.263103   0.14666  0.004165  0.000112  0.761054  0.165278 -0.041269  0.024924  146.785825   64.298903  0.233502
   19vdg   95.883095  50.399962   18941    95.88442   50.40206 J-c-o-ztfg-ztfr     1D3    F19        None  35.998715  0.124899  0.036065  0.036193   0.00037   95.883095  50.399962  0.147859      1.0         0.998                 1.0  0.396       0.521             0.396  58819.425929  0.177678  0.002942  0.000122  -0.02747  0.197621 -0.008566  0.030488  158.395537   68.502195  0.089884
   19vjm   151.17075   4.816411   29226  151.170682   4.818198           J-c-o     1D3    F19        None  35.467004  0.182302  0.029841  0.031001  0.000153   151.17075   4.816411  0.019399    0.807         0.001               0.807  0.668       2.633             0.668  58818.541121  0.271681  0.004721  0.000304 -1.261144  0.259594 -0.047574  0.044576  123.994021   74.954092 -0.094985
