# model=snpy_ebv_model2
# h=70.70068977377682
# N = 357
# RMS = 0.1648951123950165
# WRMS = 0.15175129721248223
# NMAD = 0.12568898587686875
# STD = 0.1648742524152819
# STD(logH0) = 0.032943281713634406
# rchisquare = 2.6649145015205455
# sigma_int = 0.12141
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw  calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st   EBVhost  e_EBVhost        dist         h0  resid_DM
   19hvj  231.278875  11.585211 3091171   231.27761   11.58613     J-c-o-ztfg-ztfr      2D    F19            6  37.582786  0.096145  0.085243  0.085751  0.000012  231.278875  11.585211  0.036372    0.881         0.864                0.88  0.742       0.757             0.743  58664.822543  0.521872    0.727021  1.233879  0.045236  0.178133   0.066489  328.516462  78.253446 -0.357352
   19hvv   18.601617  -7.475392    4471   18.606105   -7.47823 J-asg-c-o-ztfg-ztfr     1D3    F19            6  34.478256  0.081995  0.018127  0.017099  0.000131   18.601617  -7.475392  0.082877      0.0           0.0                 0.0  3.126       4.025              3.13  58667.541093  0.389262    2.387794  0.976789  0.032521  0.106112   0.061205   78.641396  65.185162  0.145961
   19hyj  353.752082  23.139272 1682143  353.752917  23.139167 J-asg-c-o-ztfg-ztfr     1D3    F19            6  37.406332  0.278413  0.057101  0.055919  0.000012  353.752082  23.139272  0.074221      0.0           0.0                 0.0  3.172       4.245             3.612  58662.134619  0.635912    3.626645  1.189063  0.091672 -0.065652   0.068866  302.877069  55.349631  0.438156
   19hzd  229.309583 -25.197311 2816948  229.308454 -25.194839           J-asg-c-o     1D3    F19            6  36.860932  0.098115  0.050522  0.051116   0.00009  229.309583 -25.197311  0.156776    0.128         0.118               0.127  1.372       1.392             1.374  58665.390289  0.601761    1.455839  0.945319  0.072431  0.062221    0.07124  235.606033  65.041366  0.099104
   19ibd   325.44253   7.202658 3948214  325.442708   7.202583     J-c-o-ztfg-ztfr      2D    F19            6  36.999229  0.088139   0.05846  0.057314  0.000169   325.44253   7.202658  0.050776      1.0           1.0                 1.0  0.367       0.376             0.368  58665.529935  0.394451    0.373376  1.122502  0.036103  0.116447   0.061928   251.09944  68.428876 -0.024611
   19iei  209.030021  37.564349 9005017   209.03192   37.56367     J-c-o-ztfg-ztfr     1D3    F19            6   37.26159  0.081949  0.061477   0.06212      <NA>  209.030021  37.564349  0.011212    0.992         0.991               0.992  0.504       0.512             0.504  58669.573038  0.402677    0.489934  0.971063  0.037627  0.024295   0.061905  283.346655  65.725279  0.058955
   19igg  229.810838   7.866462   54682   229.81113    7.86548 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.712088  0.090831  0.047269   0.04782  0.000013  229.810838   7.866462  0.037645    0.949         0.931               0.949  0.691       0.715             0.691  58673.106326   0.37016    0.618492  1.068835  0.036444 -0.035289   0.062004  219.997421  65.165317   0.10016
   19ihl  335.547321  -4.006762 1064165   335.54733   -4.00669     J-c-o-ztfg-ztfr      2D    F19            6  37.935404  0.114124   0.10119  0.100003   0.00012  335.547321  -4.006762  0.066032    0.005         0.001               0.004  1.892       2.186             1.921  58670.302714  0.743834    1.764469  0.673515  0.070429  -0.09988   0.082066  386.438837   77.58048 -0.364061
   19iml  262.822333   36.45065   60431   262.82412   36.44289     J-c-o-ztfg-ztfr     1D3    F19            6  36.739224   0.08514  0.049448  0.049274  0.000037  262.822333   36.45065  0.034507      1.0         0.999                 1.0  0.423        0.45             0.423   58674.42398  0.353614    0.400441  0.745679   0.03282 -0.001924   0.061371  222.763858  66.312468  0.058435
   19jzt   13.634218  34.378285 9005018    13.63579    34.3773     J-c-o-ztfg-ztfr      2D    F19            6  37.851875  0.091963    0.0819  0.080903  0.000005   13.634218  34.378285   0.09487      1.0           1.0                 1.0  0.343       0.347             0.343  58670.630365  0.450584     0.41797  1.107843  0.041877  0.116208   0.064588  371.856179  65.224701  0.042656
   19kcv  216.435743  -3.233026 1074290  216.439012  -3.230861     J-c-o-ztfg-ztfr     1D3    F19            6   37.55834  0.095624  0.073014  0.073834   0.00029  216.435743  -3.233026  0.077764    0.793         0.764               0.789  0.777       0.799              0.78  58676.828856  0.417186    0.934166  0.914241  0.063155 -0.036728   0.065833  324.838863  68.140693 -0.037568
   19mrj   236.67979  28.197915 3853245   236.68349   28.19857     J-c-o-ztfg-ztfr     1D3    F19            6  37.423544  0.137667  0.076299   0.07662  0.000013   236.67979  28.197915  0.029399    0.868         0.864               0.866  0.661       0.665             0.663  58711.742755  0.576466    0.697285  1.013102  0.071162  0.253731   0.072289  305.287367  75.241239 -0.258203
   19mrw  355.320083  25.550019   72115  355.317046  25.551244 J-asg-c-o-ztfg-ztfr     1D3    F19            6  35.888399   0.09176  0.031343   0.03018  0.000012  355.320083  25.550019  0.046398      0.0           0.0                 0.0  1.732       1.844             1.736  58714.210432  0.384659    1.713131  1.021442  0.034402  0.181243   0.062524   150.54964   60.09806  0.300802
   19nft   32.151611    6.11221 9005020    32.15103     6.1126     J-c-o-ztfg-ztfr     1D3    F19            6  37.354045  0.105605  0.069246  0.068356      <NA>   32.151611    6.11221  0.045602    0.964         0.956               0.962  0.575       0.594             0.579  58719.802757   0.45784    0.581991  1.149682  0.051337  0.130072   0.065777  295.671188  69.308789 -0.069314
   19njp   51.690667   1.183289 5093996    51.69102    1.18283 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.760421  0.079105  0.048514  0.047969  0.000003   51.690667   1.183289  0.112779    0.953         0.927               0.952  0.686       0.721             0.686  58721.295516  0.388027    0.665883  0.939471  0.033775 -0.016094   0.061423  224.949082  63.928951  0.139245
   19nwf   61.270748  -6.604816 9005021    61.27072   -6.60439     J-c-o-ztfg-ztfr      2D    F19            6  37.293809  0.090139  0.064641   0.06431      <NA>   61.270748  -6.604816  0.084596    0.832         0.788               0.825  0.757       0.792             0.763  58722.144299  0.340001    0.770761  1.200744  0.037921  0.050014   0.064437   287.58204  67.040604  0.010468
   19nzv  233.261604   40.43313 4005961  233.260675  40.434028               J-c-o     1D3    F19            6  38.396033   0.11049  0.096657   0.09695  0.000007  233.261604   40.43313    0.0217    0.963         0.961               0.962  0.384        0.39             0.385  58719.858217  0.839999    0.400049  1.076703  0.093938   0.03497   0.091078  477.756563  60.836007  0.171536
   19obt     5.14422   5.755046 1288570     5.14546    5.75417     J-c-o-ztfg-ztfr     1D3    F19            6  36.923425  0.098897  0.056009  0.054827  0.000013     5.14422   5.755046  0.017433     0.19         0.149               0.189  1.174       1.213             1.175   58727.18082  0.402278    1.258066  0.960067  0.037734  0.225285   0.062297  242.485086  67.784161 -0.000173
   19oke   316.56478   -7.41987 3366683  316.564379  -7.420131     J-c-o-ztfg-ztfr      2D    F19            6  37.444572  0.091174  0.069341  0.068319  0.000007   316.56478   -7.41987  0.086716     0.99          0.99                0.99  0.469       0.472             0.469  58727.681415  0.471039    0.504609  0.954544  0.041499  -0.01016   0.064284  308.257986  66.443025  0.022171
   19omi   57.249125   0.926919   13895    57.24839    0.92597 J-asg-c-o-ztfg-ztfr     1D3    F19            6  35.874059  0.087333  0.035788  0.035354  0.000019   57.249125   0.926919  0.180326    0.004         0.002               0.004  1.604       1.658             1.604  58730.216817  0.370609    1.584375  0.767855  0.035174  0.045704    0.06358  149.558757  70.866643 -0.063951
   19oml   45.084495  18.743612   11355   45.083216  18.741979 J-asg-c-o-ztfg-ztfr     1D3    F19            6  35.710109  0.077956     0.033  0.032323  0.000014   45.084495  18.743612  0.219763    0.924         0.888               0.924  0.743       0.777             0.743   58726.09637  0.368183    0.734376  0.893561  0.032434   0.04868    0.06115  138.682536  69.872314 -0.028872
   19one   31.099788   3.186814 9005022   31.101056   3.187288     J-c-o-ztfg-ztfr      2D    F19            6  37.499204  0.113577  0.076383  0.075481  0.000001   31.099788   3.186814  0.035407     0.29         0.259               0.288  1.138       1.168              1.14  58720.601401  0.971976    1.009225  1.296982  0.066059  0.206579   0.070305  316.111835  71.584159 -0.150687
